id,description,score
CVE-1999-0003,Execute commands as root via buffer overflow in Tooltalk database server (rpc.ttdbserverd).,10.0
CVE-1999-0008,"Buffer overflow in NIS+, in Sun's rpc.nisd program.",10.0
CVE-1999-0009,Inverse query buffer overflow in BIND 4.9 and BIND 8 Releases.,10.0
CVE-1999-0010,Denial of Service vulnerability in BIND 8 Releases via maliciously formatted DNS messages.,5.0
CVE-1999-0011,Denial of Service vulnerabilities in BIND 4.9 and BIND 8 Releases via CNAME record and zone transfer.,10.0
CVE-1999-0015,Teardrop IP denial of service.,5.0
CVE-1999-0016,Land IP denial of service.,5.0
CVE-1999-0017,"FTP servers can allow an attacker to connect to arbitrary ports on machines other than the FTP client, aka FTP bounce.",7.5
CVE-1999-0018,Buffer overflow in statd allows root privileges.,10.0
CVE-1999-0019,"Delete or create a file via rpc.statd, due to invalid information.",5.0
CVE-1999-0022,"Local user gains root privileges via buffer overflow in rdist, via expstr() function.",7.2
CVE-1999-0023,"Local user gains root privileges via buffer overflow in rdist, via lookup() function.",7.2
CVE-1999-0024,"DNS cache poisoning via BIND, by predictable query IDs.",5.0
CVE-1999-0032,"Buffer overflow in lpr, as used in BSD-based systems including Linux, allows local users to execute arbitrary code as root via a long -C (classification) command line option.",7.2
CVE-1999-0033,Command execution in Sun systems via buffer overflow in the at program.,7.2
CVE-1999-0038,Buffer overflow in xlock program allows local users to execute commands as root.,7.2
CVE-1999-0040,Buffer overflow in Xt library of X Windowing System allows local users to execute commands with root privileges.,7.2
CVE-1999-0046,Buffer overflow of rlogin program using TERM environmental variable.,10.0
CVE-1999-0051,"Arbitrary file creation and program execution using FLEXlm LicenseManager, from versions 4.0 to 5.0, in IRIX.",7.2
CVE-1999-0054,Sun's ftpd daemon can be subjected to a denial of service.,5.0
CVE-1999-0055,Buffer overflows in Sun libnsl allow root access.,7.2
CVE-1999-0056,Buffer overflow in Sun's ping program can give root access to local users.,7.2
CVE-1999-0057,Vacation program allows command execution by remote users through a sendmail command.,7.5
CVE-1999-0065,Multiple buffer overflows in how dtmail handles attachments allows a remote attacker to execute commands.,7.5
CVE-1999-0067,phf CGI program allows remote command execution through shell metacharacters.,10.0
CVE-1999-0069,Solaris ufsrestore buffer overflow.,7.2
CVE-1999-0070,test-cgi program allows an attacker to list files on the server.,5.0
CVE-1999-0078,"pcnfsd (aka rpc.pcnfsd) allows local users to change file permissions, or execute arbitrary commands through arguments in the RPC call.",1.9
CVE-1999-0084,Certain NFS servers allow users to use mknod to gain privileges by creating a writable kmem device and setting the UID to 0.,7.2
CVE-1999-0097,The AIX FTP client can be forced to execute commands from a malicious server through shell metacharacters (e.g. a pipe character).,10.0
CVE-1999-0098,Buffer overflow in SMTP HELO command in Sendmail allows a remote attacker to hide activities.,10.0
CVE-1999-0099,Buffer overflow in syslog utility allows local or remote attackers to gain root privileges.,10.0
CVE-1999-0104,"A later variation on the Teardrop IP denial of service attack, a.k.a. Teardrop-2.",5.0
CVE-1999-0109,Buffer overflow in ffbconfig in Solaris 2.5.1.,7.2
CVE-1999-0120,Sun/Solaris utmp file allows local users to gain root access if it is writable by users other than root.,7.2
CVE-1999-0125,Buffer overflow in SGI IRIX mailx program.,4.6
CVE-1999-0128,"Oversized ICMP ping packets can result in a denial of service, aka Ping o' Death.",5.0
CVE-1999-0129,Sendmail allows local users to write to a file and gain group permissions via a .forward or :include: file.,4.6
CVE-1999-0132,"Expreserve, as used in vi and ex, allows local users to overwrite arbitrary files and gain root access.",2.1
CVE-1999-0134,vold in Solaris 2.x allows local users to gain root access.,7.2
CVE-1999-0135,admintool in Solaris allows a local user to write to arbitrary files and gain root access.,7.2
CVE-1999-0136,Kodak Color Management System (KCMS) on Solaris allows a local user to write to arbitrary files and gain root access.,7.2
CVE-1999-0138,"The suidperl and sperl program do not give up root privileges when changing UIDs back to the original users, allowing root access.",7.2
CVE-1999-0139,Buffer overflow in Solaris x86 mkcookie allows local users to obtain root access.,7.2
CVE-1999-0142,The Java Applet Security Manager implementation in Netscape Navigator 2.0 and Java Developer's Kit 1.0 allows an applet to connect to arbitrary hosts.,7.5
CVE-1999-0143,Kerberos 4 key servers allow a user to masquerade as another by breaking and generating session keys.,4.6
CVE-1999-0146,"The campas CGI program provided with some NCSA web servers allows an attacker to execute arbitrary commands via encoded carriage return characters in the query string, as demonstrated by reading the password file.",7.5
CVE-1999-0164,A race condition in the Solaris ps command allows an attacker to overwrite critical files.,6.2
CVE-1999-0165,NFS cache poisoning.,10.0
CVE-1999-0166,"NFS allows users to use a ""cd .."" command to access other directories besides the exported file system.",5.0
CVE-1999-0167,"In SunOS, NFS file handles could be guessed, giving unauthorized access to the exported file system.",4.6
CVE-1999-0168,"The portmapper may act as a proxy and redirect service requests from an attacker, making the request appear to come from the local host, possibly bypassing authentication that would otherwise have taken place.  For example, NFS file systems could be mounted through the portmapper despite export restrictions.",7.5
CVE-1999-0169,NFS allows attackers to read and write any file on the system by specifying a false UID.,10.0
CVE-1999-0185,"In SunOS or Solaris, a remote user could connect from an FTP server's data port to an rlogin server on a host that trusts the FTP server, allowing remote command execution.",7.5
CVE-1999-0186,"In Solaris, an SNMP subagent has a default community string that allows remote attackers to execute arbitrary commands as root, or modify system parameters.",10.0
CVE-1999-0188,The passwd command in Solaris can be subjected to a denial of service.,7.2
CVE-1999-0189,"Solaris rpcbind listens on a high numbered UDP port, which may not be filtered since the standard port number is 111.",7.5
CVE-1999-0190,Solaris rpcbind can be exploited to overwrite arbitrary files and gain root access.,7.2
CVE-1999-0209,The SunView (SunTools) selection_svc facility allows remote users to read files.,5.0
CVE-1999-0210,Automount daemon automountd allows local or remote users to gain privileges via shell metacharacters.,10.0
CVE-1999-0211,Extra long export lists over 256 characters in some mount daemons allows NFS directories to be mounted by anyone.,5.0
CVE-1999-0212,Solaris rpc.mountd generates error messages that allow a remote attacker to determine what files are on the server.,7.8
CVE-1999-0213,libnsl in Solaris allowed an attacker to perform a denial of service of rpcbind.,10.0
CVE-1999-0214,Denial of service by sending forged ICMP unreachable packets.,10.0
CVE-1999-0217,Malicious option settings in UDP packets could force a reboot in SunOS 4.1.3 systems.,5.0
CVE-1999-0223,Solaris syslogd crashes when receiving a message from a host that doesn't have an inverse DNS entry.,2.1
CVE-1999-0235,Buffer overflow in NCSA WebServer (1.4.1 and below) gives remote access.,10.0
CVE-1999-0236,ScriptAlias directory in NCSA and Apache httpd allowed attackers to read CGI programs.,10.0
CVE-1999-0241,"Guessable magic cookies in X Windows allows remote attackers to execute commands, e.g. through xterm.",10.0
CVE-1999-0254,A hidden SNMP community string in HP OpenView allows remote attackers to modify MIB tables and obtain sensitive information.,10.0
CVE-1999-0263,Solaris SUNWadmap can be exploited to obtain root access.,4.6
CVE-1999-0267,Buffer overflow in NCSA HTTP daemon v1.3 allows remote command execution.,7.5
CVE-1999-0273,Denial of service through Solaris 2.5.1 telnet by sending ^D characters.,5.0
CVE-1999-0277,The WorkMan program can be used to overwrite any file to get root access.,7.2
CVE-1999-0295,"Solaris sysdef command allows local users to read kernel memory, potentially leading to root privileges.",7.2
CVE-1999-0296,Solaris volrmmount program allows attackers to read any file.,7.2
CVE-1999-0298,ypbind with -ypset and -ypsetme options activated in Linux Slackware and SunOS allows local and remote attackers to overwrite files via a .. (dot dot) attack.,7.5
CVE-1999-0300,nis_cachemgr for Solaris NIS+ allows attackers to add malicious NIS+ servers.,7.5
CVE-1999-0301,Buffer overflow in SunOS/Solaris ps command.,7.2
CVE-1999-0302,SunOS/Solaris FTP clients can be forced to execute arbitrary commands from a malicious FTP server.,7.5
CVE-1999-0303,Buffer overflow in BNU UUCP daemon (uucpd) through long hostnames.,4.6
CVE-1999-0315,Buffer overflow in Solaris fdformat command gives root access to local users.,7.2
CVE-1999-0318,Buffer overflow in xmcd 2.0p12 allows local users to gain access through an environmental variable.,7.2
CVE-1999-0320,SunOS rpc.cmsd allows attackers to obtain root access by overwriting arbitrary files.,9.3
CVE-1999-0321,Buffer overflow in Solaris kcms_configure command allows local users to gain root access.,7.2
CVE-1999-0334,"In Solaris 2.2 and 2.3, when fsck fails on startup, it allows a local user with physical access to obtain root access.",7.2
CVE-1999-0339,"Buffer overflow in the libauth library in Solaris allows local users to gain additional privileges, possibly root access.",7.2
CVE-1999-0342,Linux PAM modules allow local users to gain root access using temporary files.,6.2
CVE-1999-0345,Jolt ICMP attack causes a denial of service in Windows 95 and Windows NT systems.,5.0
CVE-1999-0369,The Sun sdtcm_convert calendar utility for OpenWindows has a buffer overflow which can gain root access.,7.2
CVE-1999-0370,"In Sun Solaris and SunOS, man and catman contain vulnerabilities that allow overwriting arbitrary files.",4.6
CVE-1999-0408,"Files created from interactive shell sessions in Cobalt RaQ microservers (e.g. .bash_history) are world readable, and thus are accessible from the web server.",10.0
CVE-1999-0410,The cancel command in Solaris 2.6 (i386) has a buffer overflow that allows local users to obtain root access.,7.2
CVE-1999-0417,64 bit Solaris 7 procfs allows local users to perform a denial of service.,2.1
CVE-1999-0440,The byte code verifier component of the Java Virtual Machine (JVM) allows remote execution through malicious web pages.,7.5
CVE-1999-0442,Solaris ff.core allows local users to modify files.,2.1
CVE-1999-0443,Patrol management software allows a remote attacker to conduct a replay attack to steal the administrator password.,10.0
CVE-1999-0493,"rpc.statd allows remote attackers to forward RPC calls to the local operating system via the SM_MON and SM_NOTIFY commands, which in turn could be used to remotely exploit other bugs such as in automountd.",7.5
CVE-1999-0502,"A Unix account has a default, null, blank, or missing password.",7.5
CVE-1999-0513,"ICMP messages to broadcast addresses are allowed, allowing for a Smurf attack that can cause a denial of service.",5.0
CVE-1999-0517,"An SNMP community name is the default (e.g. public), null, or missing.",7.5
CVE-1999-0524,ICMP information such as (1) netmask and (2) timestamp is allowed from arbitrary hosts.,0.0
